Prefecture,Subprefecture,GID_2,area198589,area199094,area199599,area200004,area200509,area201014,area201519,areachange,percchange
Miyagi,Ishinomaki,JPN.24.2_1,101.9169,99.7353,100.4958,93.8556,91.1961,76.1355,80.0874,-21.8295,-21.41892071
Miyagi,Iwanuma,JPN.24.3_1,19.0746,17.8587,17.0982,15.3594,14.9472,13.7313,12.9231,-6.1515,-32.24969331
Miyagi,Kakuda,JPN.24.4_1,22.8978,34.9812,38.0052,32.796,30.4974,31.392,35.568,12.6702,55.33370018
Miyagi,Kesennuma,JPN.24.7_1,4.0797,4.6683,3.9897,3.6414,2.8404,2.1096,1.9665,-2.1132,-51.79792632
Miyagi,Kurihara,JPN.24.8_1,130.2831,123.1119,133.9065,124.7373,120.1725,112.3803,120.9294,-9.3537,-7.179519063
Miyagi,Natori,JPN.24.15_1,32.0886,28.4346,27.5472,26.0937,22.9689,19.9386,20.8746,-11.214,-34.94699052
Miyagi,Ōsaki,JPN.24.19_1,155.6964,142.3323,152.1522,140.1822,132.1398,121.0221,130.9752,-24.7212,-15.87782376
Miyagi,Sendai,JPN.24.22_1,55.6038,45.9765,47.9997,46.8612,42.633,29.0952,39.3651,-16.2387,-29.20429899
Miyagi,Shiogama,JPN.24.27_1,0.0657,0.0099,0.0135,0.0279,0.0099,0.018,0.0126,-0.0531,-80.82191781
Miyagi,Shiroishi,JPN.24.28_1,12.4956,11.4732,13.0347,11.1753,10.3356,11.1312,11.0466,-1.449,-11.59608182
Miyagi,Tagajō,JPN.24.29_1,4.4901,3.2544,3.7548,3.0888,2.8755,2.4129,2.6172,-1.8729,-41.71176588
Miyagi,Tome,JPN.24.31_1,161.0064,138.8313,162.9972,141.5844,134.5923,129.0546,133.4637,-27.5427,-17.10658707
Miyazaki,Ebino,JPN.25.2_1,1.926,21.0177,13.0248,16.7067,12.2499,12.7233,10.4094,8.4834,440.4672897
Miyazaki,Hyūga,JPN.25.5_1,3.8304,5.7429,5.0481,5.5638,4.6665,4.2651,3.5235,-0.3069,-8.012218045
Miyazaki,Kobayashi,JPN.25.11_1,1.0134,15.0309,11.7315,10.845,6.5115,5.6952,5.3343,4.3209,426.3765542
Miyazaki,Kushima,JPN.25.13_1,5.9706,12.7809,13.581,12.4398,10.998,9.9675,6.3945,0.4239,7.099788966
Miyazaki,Miyakonojō,JPN.25.16_1,5.229,41.9517,49.1823,40.8168,26.6337,22.4838,24.5475,19.3185,369.4492255
Miyazaki,Miyazaki,JPN.25.17_1,23.2254,40.4397,40.023,36.4464,35.2656,22.9041,15.3774,-7.848,-33.79059134
Miyazaki,Nichinan,JPN.25.20_1,5.4459,9.0072,8.982,9.1053,8.2341,5.8347,5.2884,-0.1575,-2.892083953
