Prefecture,Subprefecture,GID_2,area198589,area199094,area199599,area200004,area200509,area201014,area201519,areachange,percchange
Oita,Bungo-ono,JPN.30.2_1,16.03941825,15.99387476,17.71399414,19.00255561,18.6081875,14.17433529,13.94687193,-2.092546313,-13.04627313
Oita,Bungotakada,JPN.30.3_1,13.54785615,10.71501878,11.30190805,11.74089678,11.66406541,9.119263745,11.29012823,-2.257727917,-16.66483532
Oita,Hita,JPN.30.6_1,9.669749782,13.33810937,7.310443986,9.699772859,10.46002529,7.829734419,9.636083686,-0.033666096,-0.348158915
Oita,Kitsuki,JPN.30.7_1,13.39708174,11.35345842,11.57858056,11.99174765,11.89696072,10.94558976,11.25713282,-2.139948919,-15.97324671
Oita,Kunisaki,JPN.30.9_1,13.39041819,14.48222461,10.99565804,13.4594548,14.9588092,13.12749534,14.12611137,0.735693183,5.494176301
Oita,Nakatsu,JPN.30.11_1,14.85447154,21.3145812,14.76180207,19.686039,21.10712551,15.00144274,16.14614589,1.291674347,8.695525412
Oita,Oita,JPN.30.12_1,12.83671107,18.27047064,12.20512473,17.14631874,16.6739212,13.64874717,9.3222831,-3.514427966,-27.37794711
Oita,Saiki,JPN.30.13_1,1.993459786,4.084395942,6.98211656,7.000433168,6.844439999,3.726086756,3.760587516,1.767127731,88.64626933
Oita,Taketa,JPN.30.14_1,21.66345279,10.93423291,21.53613126,14.19215347,14.2221173,11.54083305,15.02649997,-6.636952818,-30.63663435
Oita,Tsukumi,JPN.30.15_1,0.039496173,0.028245718,0.04153125,0.078505258,0.037240577,0.041368624,0.015453424,-0.02404275,-60.87361769
Oita,Usa,JPN.30.16_1,33.6717614,47.50698645,31.29596679,48.22788574,52.87343057,41.12059369,46.03563004,12.36386864,36.71880567
Oita,Usuki,JPN.30.17_1,2.801635503,3.533826623,4.710888233,5.918343984,6.324270816,4.598212707,4.071591447,1.269955944,45.32909232
Oita,Yufu,JPN.30.18_1,12.9582678,7.917161197,14.58566953,11.12301886,11.8965947,8.595446587,8.841677019,-4.116590781,-31.76806379
Okayama,Akaiwa,JPN.31.1_1,14.26798312,12.35386834,16.43768037,15.05527689,9.322110507,9.87610032,7.886041764,-6.381941357,-44.72910644
Okayama,Asakuchi,JPN.31.2_1,3.865003316,3.579533039,3.205944916,3.268759398,2.140603237,2.332753122,1.940892747,-1.924110569,-49.78289569
Okayama,Bizen,JPN.31.3_1,5.848407867,6.226669644,7.209474407,5.681330857,2.983471829,3.379346096,3.78782231,-2.060585557,-35.2332738
Okayama,Ibara,JPN.31.5_1,10.67907532,9.913108914,9.669635662,9.958784307,7.953426803,7.085893462,6.788077298,-3.890998027,-36.4357204
Okayama,Kasaoka,JPN.31.7_1,6.884700314,6.876285793,5.949791029,6.505287122,4.919082926,4.803006778,5.446144628,-1.438555687,-20.8949645
Okayama,Kurashiki,JPN.31.10_1,40.51110241,35.83773265,33.46531183,32.85519004,27.04984435,23.56882198,21.64166881,-18.8694336,-46.57842537
Okayama,Maniwa,JPN.31.11_1,23.76389129,27.99115638,29.89371889,26.74810933,19.55089894,23.43056819,9.674963081,-14.0889282,-59.28712615
Okayama,Mimasaka,JPN.31.12_1,19.9385609,21.93875852,20.58406731,19.38384236,14.89978388,13.15732517,12.58762959,-7.350931309,-36.86791311
Okayama,Niimi,JPN.31.16_1,12.45522873,14.48598615,17.03886188,14.59373022,10.83417756,13.6618971,6.75819544,-5.697033293,-45.7400937
Okayama,Okayama,JPN.31.18_1,83.32589288,101.5416232,104.3134911,100.8954277,63.83913188,71.30110794,74.30669937,-9.019193512,-10.82399864
Okayama,Setouchi,JPN.31.20_1,4.68410236,16.26801066,18.10809223,16.87256668,10.69986165,13.32063189,14.30024834,9.616145975,205.2932501
